ID,NameProduct,Price,StrPrice,Type,Title,Description,Details1,Details2,Details3,Details4,Details5,Details6,Details7,Details8,Details9,Details10
33,AZUR LANE | PLUSHIE | SQUEAKY GRIMMY,1209,"1,209",Merchandise,Doll,SQUEAKY GRIMMY Doll from AZUR LANE,Product Details:,Size：Sitting Height 25 cm (9.8 inches),"Material：Polyester Fibers, Cotton Filling",,,,,,,
34,AZUR LANE | CHESHIRE MUG | 3RD ANNIV,1059,"1,059",Merchandise,Glass,This mug featuring our super popular neko maid - Cheshire cheers you up no matter what happens!,Product Details:,Size: 8.5x10 cm / 3.3x3.9 in,Material: Porcelain,,,,,,,
35,AZUR LANE | TABLE MAT | VALENTINE’S DAY 2022,949,949,Merchandise,Etc.,"This Table Mat features an exquisite New Jersey pattern, which was voted by Commanders as their favorite artwork in the 2021 Celebratory Artwork Showcase. Coming with an anti-slip rubber base and anti-fraying design, it is a great option for decorating and protecting your desk.",Product Details:,Size: 70×40cm / 27.6×15.7in,"Material: Polyester, Rubber",,,,,,,
36,AZUR LANE | SOFT BLANKET | 4TH ANNIV,1969,"1,969",Merchandise,Etc.,Let's celebrate this season and the 4th Anniversary. This new Azur Lane Soft Blanket features a design with the 4th Anniversary Key Visual and a bigger size than previous blankets.,Product Details:,Size: 150×75cm / 59.1×29.5in,"Material: 2-way Stretch Fabric, Flannel",,,,,,,
37,AZUR LANE | ETERNAL OATH COUPLES' RINGS | SUMMER SUPPLY 2022,1809,"1,809",Merchandise,Etc.,"As a true representation of its name, these captivating couples' rings feature scintillating blue gemstones, like the sea shimmering in the sunlight. The distinctive anchor motif, decorated with wavy wings, represents a vow of eternal love with an unwavering loyalty.",Product Details:,"Size: 21 (61mm/2.40in), 15 (55mm/2.16in)","Material: 925 silver, plated with 18k white gold + synthetic zircon","Contents: Le Terrible's Limited Skin Redemption Card, Men's Ring, Women's Ring, Exclusive Chain, Certificate of Appraisal",,,,,,
38,AZUR LANE | 4TH ANNIVERSARY LIMITED COMMEMORATION CASE,3399,"3,399",Merchandise,Etc.,The Azur Lane 4th Anniversary Limited Commemoration Case is special carrying case repleted with 4th Anniversary necessities.,Product Details:,Size: 33×29×16cm / 13×11.4×6.3in,"Material: PP, Polyester","Case Contents: 4th Anniversary Illustration Collection, 4th Anniversary Pop-Up Art Collection, 4th Anniversary Pin, New Jersey's Journal, DIY Drift Bottle Kit, 2× Acrylic Coasters (New Jersey & Tashkent), Sticker Set",,,,,,
39,AZUR LANE | NEW JERSEY MUG | 4TH ANNIV,1059,"1,059",Merchandise,Glass,"Always taking center stage, this mug features our super popular character - New Jersey, who is ready to be by your side.",Product Details:,"Size: 8.5×11.7cm / 3.3×4.6in, 450 ml / 15.2oz",Material: Porcelain,,,,,,,
40,Azur Lane Honolulu (Light Equipped) 1/7 Scale Figure,9619,"9,619",Merchandise,Figure,From the Azur Lane video game comes a new figure of Honolulu! She has been sculpted with great detail and stands over 10 inches tall.,Product Details:,Size: 10.24 inches (26cm),Material: ABS and PVC,,,,,,,
41,Azur Lane Honolulu 1/7 Scale Figure,16029,"16,029",Merchandise,Figure,From the Azur Lane video game comes a new figure of Honolulu! She has been sculpted with great detail and stands over 10 inches tall. This 1/7 Scale figure is ready for battle with her weapons on full display.,Product Details:,Size: 10.24 inches (26cm),Material: ABS and PVC,,,,,,,
42,Azur Lane Baltimore (Light Equipped) 1/7 Scale Figure,9059,"9,059",Merchandise,Figure,From the Azur Lane video game come a new figure of Baltimore! She has been sulpted with great detail and stands over 10 inches tall.,Product Details:,Size: 10.24 inches (26cm),Material: ABS and PVC,,,,,,,
